X,Y,index,index_target,acres,shape_area,label,shape_leng,nbrdesc,color_2,nonres_status
-76.5747207759563,39.2053353688525,1594,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5737258797814,39.2053353688525,1595,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5727309836066,39.2053353688525,1596,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5717360874317,39.2053353688525,1597,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5707411912568,39.2053353688525,1598,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5697462950819,39.2053353688525,1599,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5687513989071,39.2053353688525,1600,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5677565027322,39.2053353688525,1601,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5667616065573,39.2053353688525,1602,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5657667103825,39.2053353688525,1603,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5647718142076,39.2053353688525,1604,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5637769180328,39.2053353688525,1605,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5627820218579,39.2053353688525,1606,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5617871256831,39.2053353688525,1607,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5607922295082,39.2053353688525,1608,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5597973333333,39.2053353688525,1609,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5588024371585,39.2053353688525,1610,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5578075409836,39.2053353688525,1611,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5568126448087,39.2053353688525,1612,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5558177486339,39.2053353688525,1613,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.554822852459,39.2053353688525,1614,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5538279562842,39.2053353688525,1615,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5528330601093,39.2053353688525,1616,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5518381639344,39.2053353688525,1617,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5508432677595,39.2053353688525,1618,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5498483715847,39.2053353688525,1619,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5488534754098,39.2053353688525,1620,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.547858579235,39.2053353688525,1621,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5468636830601,39.2053353688525,1622,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5458687868852,39.2053353688525,1623,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5448738907104,39.2053353688525,1624,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5438789945355,39.2053353688525,1625,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5428840983607,39.2053353688525,1626,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5418892021858,39.2053353688525,1627,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5408943060109,39.2053353688525,1628,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5398994098361,39.2053353688525,1629,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5389045136612,39.2053353688525,1630,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5379096174863,39.2053353688525,1631,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5369147213115,39.2053353688525,1632,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5777054644809,39.206291647541,1773,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.576710568306,39.206291647541,1774,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5757156721311,39.206291647541,1775,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5747207759563,39.206291647541,1776,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5737258797814,39.206291647541,1777,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5727309836066,39.206291647541,1778,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5717360874317,39.206291647541,1779,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5707411912568,39.206291647541,1780,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5697462950819,39.206291647541,1781,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5687513989071,39.206291647541,1782,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
-76.5677565027322,39.206291647541,1783,1,1257.2486021,54765749.1076,Hawkins Point,55783.9116388,HAWKINS POINT,2,1
